path,match_score
positive_0008_frame05005_prob0.921_pred1.jpg,0.5207
positive_0003_frame02000_prob0.947_pred1.jpg,0.5425
positive_0090_frame03130_prob0.688_pred1.jpg,0.5435
positive_0060_frame03135_prob0.760_pred1.jpg,0.5614
positive_0034_frame03140_prob0.843_pred1.jpg,0.5945
positive_0101_frame05000_prob0.666_pred1.jpg,0.6221
positive_0051_frame06245_prob0.781_pred1.jpg,0.6766
positive_0010_frame07205_prob0.915_pred1.jpg,0.6801
positive_0027_frame07200_prob0.870_pred1.jpg,0.6950
positive_0017_frame04430_prob0.890_pred1.jpg,0.7478
